mds1	mds2	window_N	window_pos	window_id	outlier
-0.521683021943698	0.0300438504073589	1	55448	chrchr20:1-90673	mds1
-0.390277301192614	0.0834676898640607	2	94933	chrchr20:90674-118170	mds1
-0.521548881969757	-0.00907940483638298	3	130705	chrchr20:118171-169139	mds1
-0.506028889476388	-0.0160146610267638	4	175629	chrchr20:169140-265692	mds1
-0.569406958797223	-0.0413798318952411	5	314434	chrchr20:265693-355497	mds1
-0.628375253848606	-0.104304532237882	6	391616	chrchr20:355498-436046	mds1
-0.626092771632586	-0.114873470695663	7	497334	chrchr20:436047-535050	mds1
-0.57877932366511	-0.0732059438221662	8	612864	chrchr20:535051-658813	mds1
-0.586908084502993	-0.142442548416988	9	696027	chrchr20:658814-756897	mds1
-0.603529772749599	-0.116172613416481	10	880523	chrchr20:756898-936167	mds1
-0.532270570848335	-0.072373804798433	11	975195	chrchr20:936168-1107710	mds1
-0.408452091716276	-0.0448072579030395	12	1135531	chrchr20:1107711-1208050	mds1
-0.0867455601195242	0.0582873695935579	13	1223638	chrchr20:1208051-1224084	N
-0.60955216428213	-0.108729350676471	14	1294704	chrchr20:1224085-1300794	mds1
-0.626108721385107	-0.124061977547218	15	1349423	chrchr20:1300795-1385758	mds1
-0.611672520647482	-0.129970029673971	16	1435980	chrchr20:1385759-1519710	mds1
-0.473707488374906	-0.0963463657383814	17	1543080	chrchr20:1519711-1569869	mds1
-0.594368732511405	-0.0621295439221446	18	1603839	chrchr20:1569870-1655672	mds1
-0.542193264796662	-0.113688441230864	19	1730645	chrchr20:1655673-1845089	mds1
-0.42324335888537	-0.132050498914772	20	1885766	chrchr20:1845090-1910613	mds1
-0.457366375938641	-0.119975760207899	21	1936809	chrchr20:1910614-2050819	mds1
-0.44593901186468	-0.039380292773384	22	2178539	chrchr20:2050820-2211401	mds1
-0.282607649322483	-0.147932361163019	23	2326225	chrchr20:2211402-2399214	mds1
0.0280571053661513	-0.244046277073601	24	2509231	chrchr20:2399215-2553846	N
0.0653961826211665	-0.0509644449574963	25	2617687	chrchr20:2553847-2620319	N
0.061226399416517	-0.31294424647431	26	2674654	chrchr20:2620320-2763990	mds2
0.128932148336823	-0.266845068421791	27	2870647	chrchr20:2763991-2989009	N
0.0799228003146276	-0.418496208788248	28	3085371	chrchr20:2989010-3094027	mds2
0.126856223411026	-0.452107373503227	29	3121166	chrchr20:3094028-3156711	mds2
0.075368834756524	-0.283886945428542	30	3160522	chrchr20:3156712-3191833	N
0.120175720612235	-0.306998336525415	31	3199077	chrchr20:3191834-3208275	mds2
-0.0209191173720673	-0.223074915562751	32	3218229	chrchr20:3208276-3225635	N
