P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
GH	APHP	APLP	0.0318831	0.525249	0.299705	0.159786	278.115	377.743	354.4
APHP	GL	APLP	0.031284	0.37196	0.354961	0.187414	274.492	366.913	344.652
APLP	APHP	MADHP	0.198531	5.90519	1.76125e-09	0.0879326	667.131	330.855	221.246
APLP	APHP	MADLP	0.210199	6.433	6.25557e-11	0.0915869	668.947	338.397	220.845
APLP	APHP	OH	0.177597	6.45951	5.25199e-11	0.12958	680.837	325.641	227.419
APLP	APHP	OL	0.163418	5.68381	6.58638e-09	0.12348	693.415	314.884	226.424
TACHP	APHP	APLP	0.0154817	0.196717	0.422024	0.0773362	231.964	329.008	318.976
TACLP	APHP	APLP	0.105516	1.11831	0.131716	0.373851	235.767	377.635	305.548
GH	GL	APHP	0.0781805	1.4956	0.0673795	0.807235	702.548	203.195	173.727
MADHP	APHP	GH	0.00377919	0.0369671	0.485256	0.00629167	243.171	479.819	476.206
APHP	MADLP	GH	0.0303635	0.28725	0.38696	0.0510849	235.752	495.901	466.674
APHP	OH	GH	0.0107712	0.103597	0.458745	0.0184385	228.85	494.967	484.418
OL	APHP	GH	0.0341937	0.337399	0.367908	0.0553657	227.174	506.076	472.611
GH	TACHP	APHP	0.00374258	0.0657333	0.473795	0.0707752	307.229	346.46	343.876
GH	APHP	TACLP	0.0257013	0.304285	0.380455	0.0221639	375.184	332.944	316.258
MADHP	APHP	GL	0.0544046	0.507699	0.305832	0.0719149	251.279	517.396	464.003
MADLP	APHP	GL	0.0510286	0.476893	0.316719	0.0679237	256.761	517.15	466.934
OH	APHP	GL	0.066626	0.649813	0.257907	0.0880778	247.829	532.865	466.295
OL	APHP	GL	0.0971526	0.984596	0.162411	0.123722	241.305	549.676	452.328
APHP	TACHP	GL	0.0133748	0.163542	0.435046	0.0126858	296.756	332.414	323.64
APHP	TACLP	GL	0.00665674	0.0711799	0.471627	0.00670678	274.415	350.763	346.124
MADHP	MADLP	APHP	0.0231232	0.91008	0.18139	0.021053	1155.75	126.69	120.964
OH	MADHP	APHP	0.0491599	1.34769	0.0888793	0.0647781	900.361	201.887	182.967
OL	MADHP	APHP	0.10054	1.786	0.0370497	0.133794	891.139	231.264	189.01
MADHP	TACHP	APHP	0.254341	4.38603	5.77195e-06	0.879511	205.884	589.914	350.682
MADHP	TACLP	APHP	0.211204	3.22793	0.000623439	0.714721	230.006	557.441	363.033
OH	MADLP	APHP	0.0702541	2.24068	0.0125235	0.0843853	937.39	187.728	163.083
OL	MADLP	APHP	0.120835	2.37422	0.00879302	0.151927	913.886	222.529	174.548
MADLP	TACHP	APHP	0.242693	4.29488	8.7394e-06	0.872871	198.541	597.824	364.318
MADLP	TACLP	APHP	0.199818	3.09153	0.000995627	0.705314	221.203	566.474	377.793
OL	OH	APHP	0.050313	1.51387	0.0650291	0.0738878	837.178	243.564	220.23
TACHP	APHP	OH	0.261735	4.18197	1.44498e-05	0.180442	609.349	351.197	205.492
OH	TACLP	APHP	0.227344	3.38948	0.00035013	0.730413	227.781	575.836	362.509
TACHP	APHP	OL	0.245705	3.90723	4.66805e-05	0.175376	620.398	338.912	205.217
TACLP	APHP	OL	0.217274	3.03796	0.00119095	0.166335	588.615	351.952	226.311
TACLP	TACHP	APHP	0.182322	3.52559	0.000211271	0.589054	658.755	145.337	100.513
GH	GL	APLP	0.11892	1.57461	0.0576737	0.314225	621.475	214.543	168.939
MADHP	APLP	GH	0.074489	0.696205	0.24315	0.139135	153.715	576.257	496.359
MADLP	APLP	GH	0.0432633	0.391744	0.347624	0.0870475	142.627	567.385	520.327
OH	APLP	GH	0.0602835	0.547756	0.29193	0.117241	148.016	578.091	512.355
OL	APLP	GH	0.101377	0.942242	0.173034	0.181588	152.525	596.172	486.422
GH	TACHP	APLP	0.0185256	0.238773	0.405641	0.0919825	239.675	365.918	352.607
TACLP	GH	APLP	0.0665067	0.743738	0.228517	0.252792	255.62	390.831	342.087
MADHP	APLP	GL	0.132787	1.19119	0.11679	0.196397	153.809	621.955	476.142
MADLP	APLP	GL	0.128812	1.15379	0.124292	0.192934	154.62	624.983	482.346
OH	APLP	GL	0.143217	1.315	0.0942554	0.210358	158.887	634.565	475.575
OL	APLP	GL	0.171585	1.62896	0.0516612	0.241183	158.617	647.868	458.1
TACHP	GL	APLP	0.0498683	0.554086	0.28976	0.248944	256.278	339.924	307.631
APLP	GL	TACLP	0.0118416	0.143767	0.442842	0.00985731	368.299	280.517	273.952
MADLP	MADHP	APLP	0.00948428	0.355113	0.361253	0.00389932	1262.35	117.959	115.743
OH	MADHP	APLP	0.0210235	0.558805	0.288147	0.0131362	990.989	182.906	175.374
OL	MADHP	APLP	0.0538444	0.827174	0.204069	0.0359257	976.019	206.535	185.43
TACHP	APLP	MADHP	0.075736	1.0159	0.154838	0.0274452	685.757	249.904	214.715
TACLP	APLP	MADHP	0.0455678	0.578887	0.281333	0.0184306	642.463	268.665	245.247
OH	MADLP	APLP	0.0163103	0.440697	0.329716	0.00927065	1032.83	165.616	160.3
OL	MADLP	APLP	0.0511325	0.812473	0.20826	0.0322029	1003.06	194.147	175.258
TACHP	APLP	MADLP	0.102988	1.27987	0.100296	0.0362218	696.316	258.246	210.02
TACLP	APLP	MADLP	0.0755106	0.893651	0.185754	0.0295207	654.029	278.014	238.976
OL	OH	APLP	0.031293	0.808002	0.209545	0.023104	915.488	223.652	210.08
TACHP	APLP	OH	0.101039	1.41769	0.0781399	0.0588037	702.105	258.719	211.235
TACLP	APLP	OH	0.0706845	0.93788	0.174153	0.0457821	657.814	276.483	239.977
