P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.192041	10.2995	0	0.254358	9242.69	8128.19	5509.24
APHP	APLP	GL	0.201836	8.8338	4.87891e-19	0.138791	9235.16	8203.9	5448.38
APLP	APHP	MADHP	0.0669454	4.05329	2.52517e-05	0.0335589	15512.1	5815.36	5085.59
APLP	APHP	MADLP	0.0652634	4.15476	1.62817e-05	0.0338434	15518.2	5796.76	5086.48
APLP	APHP	OH	0.0620241	4.44911	4.31134e-06	0.0706007	15391.6	5781.11	5105.86
APLP	APHP	OL	0.0571035	5.05557	2.14555e-07	0.0570611	15294.9	5727.23	5108.47
APHP	APLP	TACHP	0.0947127	7.48511	3.57427e-14	0.0757484	10178.6	7078.16	5853.38
APHP	APLP	TACLP	0.0946825	7.55472	2.09878e-14	0.0557109	10210	7092.17	5865.33
GL	GH	APHP	0.00744426	0.41639	0.338562	0.0220151	14890.9	3608.93	3555.59
GH	APHP	MADHP	0.0432796	2.84294	0.00223497	0.0261194	12757.4	6794.15	6230.45
GH	APHP	MADLP	0.0406738	2.83186	0.00231389	0.0254083	12750.6	6762.59	6233.97
GH	APHP	OH	0.0394007	2.5993	0.00467076	0.0543885	12632.1	6755.1	6242.96
GH	APHP	OL	0.0323905	2.64434	0.00409252	0.0393713	12511.4	6677.14	6258.15
APHP	GH	TACHP	0.102057	6.72899	8.54248e-12	0.0986906	7611.82	8615.77	7020.03
APHP	GH	TACLP	0.0972473	6.3137	1.36224e-10	0.0691173	7675.91	8586.69	7064.64
GL	APHP	MADHP	0.0442052	2.35914	0.00915868	0.0266336	12702.4	6792.48	6217.38
GL	APHP	MADLP	0.0384095	2.13017	0.0165788	0.0240212	12681.9	6747.29	6248.15
GL	APHP	OH	0.0458528	2.71221	0.00334178	0.0625685	12602.1	6778.38	6184.02
GL	APHP	OL	0.0388108	2.25341	0.0121165	0.0466771	12475.9	6695	6194.74
APHP	GL	TACHP	0.111029	4.63662	1.77081e-06	0.10741	7495.63	8695.02	6957.17
APHP	GL	TACLP	0.107122	4.19955	1.33726e-05	0.0761856	7549.79	8669.54	6991.85
MADLP	MADHP	APHP	0.00366557	0.554776	0.289524	0.0029549	21184.6	3382.82	3358.11
MADHP	OH	APHP	0.00703939	0.958203	0.16898	0.0103469	13962.7	6169.34	6083.09
MADHP	OL	APHP	0.0114251	1.36294	0.0864514	0.0154794	15100.4	5711.87	5582.83
TACHP	APHP	MADHP	0.0930802	5.33804	4.69771e-08	0.0554245	12611.4	7239.88	6006.87
TACLP	APHP	MADHP	0.0942434	5.91059	1.70442e-09	0.0561226	12605.6	7253.58	6004.13
MADLP	OH	APHP	0.0091177	1.26625	0.102712	0.0132733	14085	6140.3	6029.34
MADLP	OL	APHP	0.0137011	1.37131	0.0851387	0.0183956	15228	5687.82	5534.07
