P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
GH	APHP	APLP	0.0882941	2.11934	0.0170309	0.262715	4010.73	7486.13	6271.42
GL	APHP	APLP	0.0551152	1.13886	0.127381	0.182295	3867.74	7278.77	6518.34
APLP	APHP	MADHP	0.0993857	9.48856	0	0.0524205	12073.6	4564.57	3739.28
APLP	APHP	MADLP	0.0992782	9.2376	0	0.0538141	12050.9	4573.91	3747.75
APLP	APHP	OH	0.0875643	8.1329	2.09576e-16	0.106884	11985.7	4519.25	3791.52
APLP	APHP	OL	0.0983402	9.24968	0	0.0970204	12050.2	4564.41	3747.06
APHP	APLP	TACHP	0.122819	7.05702	8.50572e-13	0.0990012	8115.04	5528.48	4319.02
APHP	APLP	TACLP	0.118614	6.87526	3.09386e-12	0.0671341	8068.87	5516.43	4346.54
GH	GL	APHP	0.0119054	0.729022	0.232994	0.0310675	11852.9	2735.52	2671.15
GH	APHP	MADHP	0.0764922	5.13749	1.39219e-07	0.049831	9540.04	5506.43	4723.89
GH	APHP	MADLP	0.0742822	4.88592	5.14728e-07	0.0498026	9507.32	5505.77	4744.37
GH	APHP	OH	0.0671547	5.02893	2.46613e-07	0.101814	9464.72	5473.68	4784.78
GH	APHP	OL	0.0787663	5.3649	4.04967e-08	0.0959715	9535.52	5525.13	4718.3
TACHP	GH	APHP	0.0294605	1.7865	0.0370092	0.134549	7142.97	5602.02	5281.39
TACLP	GH	APHP	0.0225572	1.15247	0.124563	0.106818	7101.34	5596.83	5349.9
GL	APHP	MADHP	0.10932	4.8158	7.33044e-07	0.0690687	9716.68	5618.69	4511.29
GL	APHP	MADLP	0.105826	4.64844	1.67228e-06	0.0689318	9684.83	5618.91	4543.47
GL	APHP	OH	0.0928066	4.36255	6.42779e-06	0.134406	9603.72	5548.31	4605.93
GL	APHP	OL	0.10822	4.83551	6.64017e-07	0.126167	9696.21	5621.46	4523.56
TACHP	GL	APHP	0.0366058	1.6035	0.0544117	0.161524	7380.97	5451.22	5066.22
TACLP	GL	APHP	0.0294284	1.16332	0.12235	0.134698	7330.1	5444.7	5133.4
MADHP	MADLP	APHP	0.00617604	0.483542	0.314355	0.00524751	15595.2	2611.82	2579.76
MADHP	OH	APHP	0.00460945	0.704131	0.240676	0.00696804	10462.9	4639.14	4596.57
MADHP	OL	APHP	0.00276325	0.332333	0.369819	0.0037979	11560.2	4213.84	4190.61
TACHP	APHP	MADHP	0.115902	5.81379	3.05372e-09	0.0747531	9514.89	5801.91	4596.7
TACLP	APHP	MADHP	0.122217	6.51555	3.6211e-11	0.0780387	9583.82	5797.14	4534.45
MADLP	OH	APHP	0.00113186	0.145478	0.442167	0.00173036	10403.4	4647.26	4636.75
OL	MADLP	APHP	0.00104379	0.106219	0.457704	0.00145209	11501.3	4238.89	4230.05
TACHP	APHP	MADLP	0.111101	5.82396	2.87353e-09	0.0739556	9483.57	5802.65	4642.22
TACLP	APHP	MADLP	0.114028	6.31611	1.34117e-10	0.0753766	9539.84	5785.22	4600.91
OL	OH	APHP	0.00202353	0.391228	0.347814	0.00317859	10141.6	4790.41	4771.07
TACHP	APHP	OH	0.0945763	5.1627	1.21705e-07	0.139873	9389.94	5719.52	4731.14
TACLP	APHP	OH	0.0975766	5.44404	2.60428e-08	0.142919	9448.13	5704.02	4689.82
TACHP	APHP	OL	0.115646	5.99199	1.03646e-09	0.136729	9497.97	5808.22	4604.08
TACLP	APHP	OL	0.120026	6.34326	1.12476e-10	0.140325	9556.82	5793.36	4551.69
TACHP	TACLP	APHP	0.0203952	0.940892	0.17338	0.0309763	14223.8	1843.73	1770.02
GH	GL	APLP	0.077922	3.164	0.000778094	0.098321	9608.9	3142.11	2687.83
APLP	GH	MADHP	0.00492607	0.353761	0.361759	0.00271503	11436.8	4359.94	4317.19
APLP	GH	MADLP	0.00743833	0.492379	0.311226	0.00421733	11408.9	4385.29	4320.53
APLP	GH	OH	0.00444756	0.321646	0.37386	0.00570062	11324.6	4383.98	4345.16
APLP	GH	OL	0.00121049	0.0850147	0.466125	0.0012481	11425.8	4347.93	4337.42
TACHP	APLP	GH	0.0586929	2.12427	0.0168237	0.110276	5119.38	6491.24	5771.5
APLP	GH	TACLP	0.0533078	2.43565	0.00743262	0.0357738	6501.63	5745.45	5163.9
GL	APLP	MADHP	0.0338244	1.42189	0.0775296	0.0175959	11885.3	4311.45	4029.33
GL	APLP	MADLP	0.0297722	1.23446	0.108516	0.0159795	11853.8	4311.1	4061.82
GL	APLP	OH	0.0256282	1.19993	0.115083	0.0306134	11728.9	4295.17	4080.51
GL	APLP	OL	0.0336066	1.48929	0.068205	0.0322395	11856.9	4314.23	4033.68
TACHP	APLP	GL	0.0581968	1.83927	0.0329375	0.0518001	4727.45	6553.59	5832.74
TACLP	APLP	GL	0.0619507	2.053	0.0200361	0.054809	4766.46	6558.47	5793.27
MADHP	MADLP	APLP	0.00621335	0.518611	0.302016	0.00265504	16334.9	2525.32	2494.13
MADHP	OH	APLP	0.0156695	1.86397	0.0311628	0.0119289	11092.9	4541.46	4401.33
MADHP	OL	APLP	0.00383962	0.369909	0.355725	0.00265227	12236.6	4072.9	4041.74
TACHP	APLP	MADHP	0.0402557	2.14572	0.0159475	0.0235656	10656.7	4908.95	4529.02
TACLP	APLP	MADHP	0.0465089	2.5248	0.00578822	0.0270334	10703	4921.14	4483.73
MADLP	OH	APLP	0.0121147	1.37991	0.0838074	0.00929786	11034.6	4550.71	4441.77
OL	MADLP	APLP	3.72487e-06	0.000331354	0.499868	2.59909e-06	12177	4088.51	4088.48
TACHP	APLP	MADLP	0.0352608	1.95925	0.025042	0.0212991	10623.7	4907.13	4572.86
TACLP	APLP	MADLP	0.0378373	2.126	0.0167518	0.022796	10662.5	4911.83	4553.68
OL	OH	APLP	0.0117524	2.30827	0.0104922	0.00929954	10769.6	4690.64	4581.66
TACHP	APLP	OH	0.0273768	1.75265	0.0398307	0.0368875	10498.5	4890.89	4630.23
TACLP	APLP	OH	0.030111	1.87174	0.030621	0.0403689	10541.8	4900.11	4613.64
TACHP	APLP	OL	0.0409182	2.52572	0.00577302	0.0439193	10636.3	4919.76	4532.97
TACLP	APLP	OL	0.0450208	2.76488	0.00284716	0.0479539	10675.4	4924.67	4500.35
TACHP	TACLP	APLP	0.00912715	0.336651	0.36819	0.0057048	13096.8	1886.55	1852.43
GL	GH	MADHP	0.0718333	3.35561	0.000395956	0.0202631	16421.6	2423.68	2098.81
GL	GH	MADLP	0.0687608	3.05604	0.00112142	0.0201269	16385.3	2440.57	2126.53
GL	GH	OH	0.0555319	2.81365	0.0024491	0.0361503	16270.7	2409.01	2155.53
GL	GH	OL	0.0637803	3.54828	0.000193877	0.0334476	16426.2	2427.25	2136.2
GH	GL	TACHP	0.079705	2.85247	0.00216907	0.0437535	10257	3069.39	2616.22
GH	GL	TACLP	0.0780645	2.62733	0.00430291	0.028405	10306.5	3074.48	2629.23
MADHP	MADLP	GH	0.01065	0.860126	0.19486	0.00412475	16269.1	2524.26	2471.06
MADHP	OH	GH	0.0152886	1.73844	0.0410671	0.0105613	11035.3	4522.67	4386.46
OL	MADHP	GH	0.000132912	0.0130145	0.494808	8.32489e-05	12191.3	4039.13	4038.05
