P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
GH	APHP	APLP	0.134296	3.81362	6.84736e-05	0.402139	5358.32	9602.91	7329.02
GL	APHP	APLP	0.12908	3.67103	0.000120789	0.394841	5224.26	9648.72	7442.58
APLP	APHP	MADHP	0.0569627	6.14694	3.94969e-10	0.031597	14551	5472.02	4882.21
APLP	APHP	MADLP	0.0560571	5.97446	1.15426e-09	0.0305041	14598.7	5463.74	4883.69
APLP	APHP	OH	0.0489461	6.37598	9.0899e-11	0.0586375	14415	5448.39	4939.92
APLP	APHP	OL	0.0532292	5.89509	1.87238e-09	0.0557594	14486.2	5463.81	4911.54
APHP	APLP	TACHP	0.0954689	6.83859	3.99873e-12	0.0690146	10116.2	6688.71	5522.89
APHP	APLP	TACLP	0.0933442	6.5804	2.34592e-11	0.0524055	10091.9	6678.35	5538.02
GL	GH	APHP	0.025423	1.23306	0.108776	0.0629594	14464.9	3627.53	3447.66
GH	APHP	MADHP	0.0840932	3.54243	0.000198229	0.0556648	11703.9	6869.53	5803.79
GH	APHP	MADLP	0.0820467	3.5269	0.000210227	0.0534095	11749.9	6859.56	5819.3
GH	APHP	OH	0.063451	2.74925	0.00298663	0.0902875	11508.7	6786.69	5976.83
GH	APHP	OL	0.0676597	2.8802	0.00198712	0.0844335	11580	6802.27	5940.12
TACHP	GH	APHP	0.0259111	1.39941	0.0808453	0.114483	8782.11	6903.58	6554.86
TACLP	GH	APHP	0.0229178	1.14096	0.126944	0.103267	8747.73	6902.76	6593.46
GL	APHP	MADHP	0.119548	3.20761	0.000669215	0.0775298	11768	7113.48	5594.29
GL	APHP	MADLP	0.118839	3.23653	0.000604954	0.0757083	11819	7108.55	5598.46
GL	APHP	OH	0.0967035	2.72099	0.00325431	0.131626	11558.4	7016.25	5778.92
GL	APHP	OL	0.104183	2.84434	0.00222515	0.124484	11642.3	7044.42	5715.1
TACHP	GL	APHP	0.0130989	0.692778	0.244224	0.0554591	9186.85	6529.65	6360.8
TACLP	GL	APHP	0.0100605	0.489014	0.312416	0.0431027	9177.94	6497.34	6367.91
MADLP	MADHP	APHP	0.00880337	0.600242	0.274173	0.00738131	19192	3203.92	3148
MADHP	OH	APHP	0.0100861	1.26602	0.102753	0.0149638	12988.8	5629.88	5517.44
