P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.0549884	1.74318	0.0406515	0.0524786	7930.38	4523.42	4051.88
APHP	APLP	GL	0.0621873	1.95669	0.0251919	0.039323	7819.01	4585	4048.13
APLP	APHP	MADHP	0.0229784	0.825167	0.204638	0.0121763	10554.6	3711.45	3544.71
APLP	APHP	MADLP	0.0311778	1.22314	0.110638	0.0184957	10669.6	3703.78	3479.81
APLP	APHP	OH	0.016762	0.651499	0.257362	0.0216464	10552	3680.38	3559.03
APLP	APHP	OL	0.0203556	0.684584	0.246803	0.0206514	10543.6	3717.55	3569.23
APHP	APLP	TACHP	0.042412	2.0408	0.0206355	0.0306503	8294.07	4329.33	3977.04
APHP	APLP	TACLP	0.0386569	1.76086	0.0391313	0.0201642	8415.44	4306.49	3985.93
GH	GL	APHP	0.023796	1.12892	0.129466	0.0539471	11364.5	2315.12	2207.5
GH	APHP	MADHP	0.0821466	2.58903	0.00481234	0.0544162	8093.51	5128.86	4350.18
GH	APHP	MADLP	0.0649592	2.43881	0.00736786	0.0488769	8094.9	5007.59	4396.69
GH	APHP	OH	0.0526188	2.11118	0.0173785	0.0835686	7995.97	5002.82	4502.65
GH	APHP	OL	0.0677906	2.41701	0.0078242	0.0841497	8045.66	5098.08	4450.76
APHP	GH	TACHP	0.187035	7.44621	4.8029e-14	0.185589	5073.45	6767.6	4634.93
APHP	GH	TACLP	0.199824	6.48035	4.57547e-11	0.14362	5122.29	6854.41	4571.28
GL	APHP	MADHP	0.0870076	2.38401	0.00856264	0.0571737	8197.41	5125.13	4304.67
GL	APHP	MADLP	0.0764958	2.31397	0.0103346	0.0567232	8223.25	5028.31	4313.69
GL	APHP	OH	0.0558866	1.79004	0.0367236	0.087691	8082.77	4981.99	4454.61
GL	APHP	OL	0.0734468	2.11047	0.0174088	0.0900373	8150.41	5095.21	4397.96
APHP	GL	TACHP	0.183218	5.93775	1.44483e-09	0.181001	5180.54	6713.55	4634.4
APHP	GL	TACLP	0.189792	5.77214	3.91363e-09	0.135802	5266.9	6767.25	4608.27
MADLP	MADHP	APHP	0.0246943	1.20511	0.114081	0.0240529	13194.6	2544.8	2422.14
OH	MADHP	APHP	0.00349326	0.178959	0.428985	0.0056997	9211.16	4093.39	4064.89
MADHP	OL	APHP	0.00228958	0.18446	0.426826	0.00343145	10125.5	3738.13	3721.05
TACHP	APHP	MADHP	0.169755	4.82291	7.07411e-07	0.107964	8171.03	5644.9	4006.52
TACLP	APHP	MADHP	0.175628	4.71157	1.22906e-06	0.112054	8131.28	5717.63	4009.3
MADLP	OH	APHP	0.0116528	1.31098	0.0949331	0.0184669	9319.24	4087.14	3992.98
MADLP	OL	APHP	0.0188475	1.88504	0.029712	0.0273893	10195.7	3776.81	3637.08
TACHP	APHP	MADLP	0.159266	4.9145	4.45044e-07	0.113635	8195.33	5546.54	4022.51
TACLP	APHP	MADLP	0.161376	4.86382	5.75694e-07	0.115726	8134.12	5597.82	4042.15
OH	OL	APHP	0.0055436	0.536517	0.295801	0.0091095	9290.56	4133.6	4088.02
TACHP	APHP	OH	0.139786	4.48345	3.67223e-06	0.197883	8065.62	5510.98	4159.22
TACLP	APHP	OH	0.144005	4.49959	3.40419e-06	0.203902	8017.4	5575.25	4171.65
TACHP	APHP	OL	0.163919	4.79399	8.17472e-07	0.183723	8139.58	5630.52	4044.59
TACLP	APHP	OL	0.167378	4.78593	8.50999e-07	0.188201	8097.32	5700.74	4066.01
TACLP	TACHP	APHP	0.0402463	2.65335	0.00398484	0.0443802	13495.1	1453.71	1341.22
GH	GL	APLP	0.0373968	1.4188	0.0779788	0.0239408	10911.3	2398.84	2225.89
GH	APLP	MADHP	0.066495	1.4902	0.0680855	0.0427678	8510.27	4907.33	4295.39
GH	APLP	MADLP	0.0425178	1.07441	0.141319	0.0309643	8526.46	4743.64	4356.71
GH	APLP	OH	0.0410571	1.10272	0.135074	0.0632938	8388.78	4802.74	4423.92
GH	APLP	OL	0.0537376	1.28643	0.0991457	0.0648796	8459.83	4892.38	4393.38
APLP	GH	TACHP	0.159092	4.73175	1.11295e-06	0.159901	5263.02	6485.63	4705.25
