P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.0647097	4.10529	2.01901e-05	0.0694037	10846.9	5969.92	5244.25
APHP	APLP	GL	0.0731821	3.57403	0.000175767	0.0418587	10718.4	6029.72	5207.36
APLP	APHP	MADHP	0.0499396	4.9033	4.71191e-07	0.0216484	16437.9	4871.77	4408.33
APLP	APHP	MADLP	0.0476423	4.46527	3.99847e-06	0.0218308	16451.1	4842.25	4401.84
APLP	APHP	OH	0.040686	4.14019	1.73508e-05	0.0441948	15917.4	4906.24	4522.61
APLP	APHP	OL	0.0513277	4.70386	1.27642e-06	0.0419105	16220	4920.26	4439.83
APHP	APLP	TACHP	0.0727691	4.90984	4.55764e-07	0.0507736	10928.3	5887.36	5088.65
APHP	APLP	TACLP	0.0667432	4.27145	9.7101e-06	0.0343101	11000.4	5835.59	5105.36
GH	GL	APHP	0.0139917	1.05569	0.145556	0.0293143	14958.2	3318.22	3226.64
GH	APHP	MADHP	0.0141622	1.08466	0.139036	0.00840412	12319	6355.51	6178.01
GH	APHP	MADLP	0.0118652	0.984341	0.162474	0.00746073	12333.6	6327.44	6179.05
APHP	GH	OH	0.000705441	0.0686305	0.472642	0.00108866	11799.3	6399.84	6390.82
GH	APHP	OL	0.016063	1.59206	0.0556855	0.0181953	12134.7	6437.66	6234.11
TACHP	GH	APHP	0.0170049	1.01277	0.155584	0.0701142	8260.77	7088.76	6851.7
TACLP	GH	APHP	0.0209872	1.19081	0.116865	0.0851263	8256.86	7112.11	6819.72
GL	APHP	MADHP	0.0152662	0.778658	0.218091	0.00900483	12383.3	6328.26	6137.95
GL	APHP	MADLP	0.0143346	0.771608	0.220173	0.00894118	12400.8	6302.99	6124.85
GL	APHP	OH	0.00449076	0.297203	0.383156	0.00682747	11877.4	6377.29	6320.26
GL	APHP	OL	0.0224584	1.43968	0.0749786	0.025104	12226.9	6438.28	6155.44
TACHP	GL	APHP	0.0239178	1.32788	0.0921084	0.0972812	8312.94	7034.29	6705.66
TACLP	GL	APHP	0.0279828	1.44685	0.0739697	0.111794	8296.54	7052.71	6668.74
MADLP	MADHP	APHP	0.00694105	0.726587	0.233739	0.00466742	20982.1	3099.41	3056.68
MADHP	OH	APHP	0.0487782	2.99844	0.00135685	0.0608498	13926.6	5966.09	5411.13
MADHP	OL	APHP	0.0272759	2.58669	0.00484518	0.0292196	16025.3	5016.38	4750
TACHP	APHP	MADHP	0.0920788	8.587	4.44523e-18	0.0520016	12538.5	6812.13	5663.4
TACLP	APHP	MADHP	0.0911399	7.90691	1.31931e-15	0.0516471	12498.2	6827.14	5686.64
MADLP	OH	APHP	0.0521394	3.30294	0.000478388	0.0652642	13822.2	6030.5	5432.81
MADLP	OL	APHP	0.0311845	3.23888	0.000599999	0.0337585	15793	5110.81	4801.69
TACHP	APHP	MADLP	0.0931679	9.02655	1.0842e-19	0.0554288	12561.8	6792.61	5634.78
TACLP	APHP	MADLP	0.0922957	7.65996	9.29964e-15	0.0550814	12518.2	6804.37	5654.47
OL	OH	APHP	0.0248569	2.26826	0.0116567	0.0326335	13742.9	5948.99	5660.42
TACHP	APHP	OH	0.0638432	6.99096	1.36504e-12	0.0897385	11968.2	6796.72	5980.95
TACLP	APHP	OH	0.0641714	5.73685	4.82272e-09	0.0903418	11933.7	6817.56	5995.34
TACHP	APHP	OL	0.0860447	8.8678	3.79471e-19	0.0900554	12316	6855.96	5769.6
TACLP	APHP	OL	0.0845256	7.50347	3.10752e-14	0.0889	12278.8	6874.1	5802.6
TACLP	TACHP	APHP	0.0142043	0.837706	0.201098	0.0161092	17972	1975.46	1920.13
GH	GL	APLP	0.0281473	1.78351	0.0372516	0.019125	14256	3438.34	3250.08
APLP	GH	MADHP	0.0238371	1.23483	0.108447	0.0133569	13007.4	6140.8	5854.86
APLP	GH	MADLP	0.0244218	1.35936	0.0870163	0.0144769	13004.9	6124.62	5832.61
APLP	GH	OH	0.0320051	1.95573	0.0252484	0.0452343	12455.6	6330.42	5937.78
APLP	GH	OL	0.0228811	1.38255	0.083401	0.0241541	12815.3	6188.97	5912.08
TACHP	GH	APLP	0.0115015	0.500944	0.308205	0.016396	7658.16	7211.81	7047.8
TACLP	GH	APLP	0.0202031	0.90139	0.183691	0.0284254	7686.2	7267.1	6979.28
APLP	GL	MADHP	0.0230816	0.93186	0.175704	0.0127586	13121	6053.25	5780.12
APLP	GL	MADLP	0.0222374	0.964388	0.167426	0.0130002	13126.3	6027.99	5765.72
APLP	GL	OH	0.0270032	1.32464	0.0926454	0.0376257	12590.2	6210.75	5884.15
APLP	GL	OL	0.0165491	0.789661	0.214863	0.0172373	12962.6	6068.79	5871.19
TACHP	GL	APLP	0.0250085	0.996496	0.159505	0.035214	7675.42	7219.12	6866.85
TACLP	GL	APLP	0.0338104	1.34325	0.0895955	0.0469824	7700	7278.52	6802.44
MADLP	MADHP	APLP	0.00324584	0.307722	0.379147	0.00115756	21389.8	3043.67	3023.98
MADHP	OH	APLP	0.0565591	3.16373	0.000778808	0.0373557	14273.2	5929.05	5294.27
MADHP	OL	APLP	0.0259597	2.20513	0.0137225	0.014675	16417.6	4928.28	4678.88
TACHP	APLP	MADHP	0.0580399	4.62756	1.84997e-06	0.0310221	13234.8	6246.23	5560.94
TACLP	APLP	MADHP	0.0569231	4.42081	4.91648e-06	0.0306617	13150.4	6285.68	5608.62
MADLP	OH	APLP	0.0578926	3.35947	0.000390468	0.0384664	14155	5979.75	5325.27
MADLP	OL	APLP	0.0276075	2.46727	0.00680746	0.015815	16170.8	5008.11	4739.01
TACHP	APLP	MADLP	0.061041	4.61554	1.96033e-06	0.0343504	13243.6	6235.3	5517.87
TACLP	APLP	MADLP	0.0599446	4.38891	5.69599e-06	0.0339869	13157.1	6272.61	5563.12
OL	OH	APLP	0.033664	2.83292	0.00230627	0.023022	14094.2	5916.65	5531.27
