P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.0706728	4.1034	2.03559e-05	0.0812428	10727	6212.84	5392.65
APHP	APLP	GL	0.068855	3.93711	4.12346e-05	0.0407319	10637	6210	5409.91
APLP	APHP	MADHP	0.0748869	3.24194	0.000593598	0.032607	15890.3	5209.8	4483.87
APLP	APHP	MADLP	0.0752429	3.3343	0.000427567	0.0341432	15846.6	5205.25	4476.75
APLP	APHP	OH	0.0686123	3.13989	0.000845055	0.0674452	15692.1	5240.67	4567.69
APLP	APHP	OL	0.075631	3.35949	0.000390426	0.0588977	15846	5256.63	4517.41
APHP	APLP	TACHP	0.0449467	3.07109	0.0010664	0.0337769	11265.1	5726.74	5234.09
APHP	APLP	TACLP	0.0397708	2.39192	0.00838032	0.0208876	11404	5668.26	5234.64
GH	GL	APHP	0.0149747	0.830378	0.203162	0.0331548	14768	3635.63	3528.36
GH	APHP	MADHP	0.0368891	1.8599	0.0314498	0.0215811	12020.7	6674.59	6199.67
GH	APHP	MADLP	0.0403377	2.06195	0.0196061	0.0244981	11980.2	6673.22	6155.73
GH	APHP	OH	0.0297469	1.79587	0.0362579	0.0400327	11839.2	6722.12	6333.75
GH	APHP	OL	0.0375342	2.14124	0.0161273	0.0396489	11989	6734.07	6246.84
TACHP	GH	APHP	0.0496005	1.76676	0.0386343	0.176706	8352.05	7370.98	6674.32
TACLP	GH	APHP	0.0597557	1.84931	0.0322064	0.204262	8408.99	7403.77	6568.83
GL	APHP	MADHP	0.0507242	2.33057	0.00988804	0.0291657	12152.9	6699.53	6052.68
GL	APHP	MADLP	0.0519145	2.47677	0.00662893	0.0310241	12096.5	6682.31	6022.73
GL	APHP	OH	0.0373566	2.0768	0.0189102	0.0493805	11934.4	6709.99	6226.72
GL	APHP	OL	0.047539	2.44732	0.00719609	0.049287	12105.9	6743.65	6131.57
TACHP	GL	APHP	0.0581707	1.86848	0.0308478	0.203767	8524.79	7312.08	6508.15
TACLP	GL	APHP	0.0685681	1.97987	0.0238593	0.230469	8552.08	7341.81	6399.58
MADHP	MADLP	APHP	0.00624367	0.787622	0.215459	0.00454986	21506.2	3156.45	3117.28
MADHP	OH	APHP	0.0194557	1.75355	0.0397538	0.0266111	14450.4	6000.7	5771.66
MADHP	OL	APHP	0.00887365	0.806629	0.20994	0.0105932	16339.4	5181.82	5090.66
TACHP	APHP	MADHP	0.141499	4.46186	4.06263e-06	0.0784338	12042.6	7393.15	5560.26
TACLP	APHP	MADHP	0.143258	4.16667	1.5454e-05	0.0796865	11951.9	7440.72	5575.97
MADLP	OH	APHP	0.0163055	1.37746	0.0841844	0.022153	14541.7	5917.15	5727.28
MADLP	OL	APHP	0.00512095	0.442011	0.329241	0.00606028	16402.5	5101.55	5049.56
TACHP	APHP	MADLP	0.146687	4.58223	2.30018e-06	0.0844338	12041.2	7430.95	5529.78
TACLP	APHP	MADLP	0.148932	4.34351	7.0111e-06	0.086032	11956.4	7484.34	5544
OL	OH	APHP	0.0116879	1.75487	0.0396408	0.0161784	14659	5967.58	5829.69
TACHP	APHP	OH	0.130681	4.11647	1.92357e-05	0.155912	11852	7431.53	5713.7
TACLP	APHP	OH	0.132334	3.88462	5.12451e-05	0.158282	11764	7481.82	5733.04
TACHP	APHP	OL	0.143939	4.58045	2.31987e-06	0.137182	12022.4	7464.06	5585.69
TACLP	APHP	OL	0.143832	4.26567	9.96513e-06	0.137832	11929.1	7509.1	5620.63
TACLP	TACHP	APHP	0.0336096	1.52413	0.0637379	0.0338317	17290.9	2126.41	1988.12
GH	GL	APLP	0.0118369	0.469487	0.319361	0.00963097	14058.2	3725.88	3638.71
APLP	GH	MADHP	0.0208169	1.2911	0.0983344	0.0112742	12795.7	6154.47	5903.46
APLP	GH	MADLP	0.0175841	1.14103	0.126928	0.00989049	12750.2	6105.56	5894.54
APLP	GH	OH	0.0232313	2.02247	0.0215639	0.0285252	12593.4	6267.7	5983.1
APLP	GH	OL	0.0207554	1.48979	0.0681393	0.0200776	12758.9	6196.51	5944.52
TACHP	GH	APLP	0.0715122	2.34695	0.00946381	0.101817	7833.95	7673.07	6648.88
TACLP	GH	APLP	0.0858166	2.5409	0.00552833	0.119071	7912.81	7727.78	6506.26
APLP	GL	MADHP	0.00663827	0.370464	0.355519	0.0035523	12896.4	5996.07	5916.99
APLP	GL	MADLP	0.0058096	0.350592	0.362947	0.00323082	12840.5	5966.56	5897.63
APLP	GL	OH	0.0156452	1.1884	0.117337	0.01901	12665.2	6157.48	5967.78
APLP	GL	OL	0.0105746	0.651855	0.257247	0.0101304	12849.8	6075.37	5948.23
TACHP	GL	APLP	0.078942	2.2855	0.0111418	0.110465	8007.45	7594.83	6483.46
TACLP	GL	APLP	0.0936589	2.51882	0.00588745	0.127607	8051.01	7640.83	6332.14
MADHP	MADLP	APLP	0.00594702	0.597909	0.27495	0.00229532	22173.5	3095.3	3058.7
MADHP	OH	APLP	0.0244724	2.1824	0.0145399	0.0176857	15025.1	5902.48	5620.48
MADHP	OL	APLP	0.00774615	0.594812	0.275985	0.00488342	16961.6	5064.82	4986.95
TACHP	APLP	MADHP	0.0904184	3.21832	0.000644727	0.047366	12542.9	6674.81	5567.85
TACLP	APLP	MADHP	0.0923473	2.82239	0.00238338	0.048664	12406.1	6735.37	5596.55
MADLP	OH	APLP	0.0215289	1.72952	0.0418579	0.0154367	15119.4	5821.93	5576.54
MADLP	OL	APLP	0.00415597	0.297047	0.383215	0.00259607	17025.3	4985.13	4943.87
TACHP	APLP	MADLP	0.0957852	3.39161	0.000347417	0.0520808	12539.1	6707.66	5534.99
TACLP	APLP	MADLP	0.0982031	3.01616	0.00128001	0.053729	12410.1	6775.97	5564.13
OL	OH	APLP	0.0176856	2.28517	0.0111514	0.0128648	15237.6	5873.21	5669.08
TACHP	APLP	OH	0.0838313	2.96164	0.00153001	0.0948238	12340.4	6754.36	5709.49
TACLP	APLP	OH	0.0856369	2.67701	0.00371416	0.0973626	12207.8	6819.09	5743.29
TACHP	APLP	OL	0.0923793	3.21475	0.000652799	0.0831949	12525.4	6735.19	5596.04
TACLP	APLP	OL	0.0924183	2.86391	0.00209226	0.0838795	12385.2	6792.29	5643.04
TACLP	TACHP	APLP	0.0474672	2.29722	0.0108032	0.0192363	16849	2177.18	1979.86
GL	GH	MADHP	0.0280883	1.76903	0.0384442	0.00775257	20207.1	3146.43	2974.5
GL	GH	MADLP	0.0233544	1.55577	0.0598815	0.00668333	20177.1	3112.98	2970.9
GL	GH	OH	0.0152424	1.1684	0.121323	0.00969682	19905.6	3160.46	3065.56
GL	GH	OL	0.0201923	1.39544	0.0814415	0.0100532	20135.7	3153.88	3029.03
GH	GL	TACHP	0.0464871	1.99547	0.0229956	0.0263006	13734.4	3814.72	3475.8
GH	GL	TACLP	0.0428452	1.9557	0.02525	0.0165068	13723.1	3800.98	3488.65
MADLP	MADHP	GH	0.000544297	0.0601458	0.47602	0.000213261	21987.7	3123.93	3120.53
MADHP	OH	GH	0.0270907	1.81383	0.0348521	0.0198053	14820.5	5982.46	5666.87
MADHP	OL	GH	0.00775212	0.514321	0.303514	0.00494847	16769.7	5124.91	5046.06
TACHP	GH	MADHP	0.115484	3.60709	0.000154823	0.0581087	13360.6	6558.47	5200.51
TACLP	GH	MADHP	0.118402	3.26218	0.000552801	0.0593917	13390.3	6564.04	5174.21
MADLP	OH	GH	0.0277042	1.76159	0.0390692	0.0200162	14929.4	5916.51	5597.52
MADLP	OL	GH	0.00818578	0.505263	0.306687	0.00516117	16853	5064.8	4982.55
TACHP	GH	MADLP	0.118089	3.78387	7.72049e-05	0.0614588	13356	6550.43	5166.76
TACLP	GH	MADLP	0.121706	3.43236	0.000299175	0.0630858	13386.5	6556.87	5134.02
OL	OH	GH	0.0202676	2.50509	0.00612096	0.0149374	15038.6	5958.76	5722.02
TACHP	GH	OH	0.110963	3.74163	9.14149e-05	0.120663	13141.8	6655.29	5325.83
TACLP	GH	OH	0.11383	3.41597	0.000317778	0.123131	13166.5	6655.8	5295.4
TACHP	GH	OL	0.117282	3.90193	4.77145e-05	0.101599	13349.6	6626.36	5235.21
TACLP	GH	OL	0.118481	3.5055	0.000227873	0.102271	13361.4	6614	5212.75
TACHP	TACLP	GH	0.00557205	0.256087	0.398942	0.00264518	15641.7	2179.02	2154.87
MADHP	MADLP	GL	0.00426572	0.414847	0.339127	0.00102692	22121.9	3112.59	3086.15
MADHP	OH	GL	0.0339072	2.13448	0.0164017	0.0152477	14918.8	5985.86	5593.24
MADHP	OL	GL	0.0124586	0.691943	0.244487	0.00489051	16886.4	5116.74	4990.82
TACHP	GL	MADHP	0.103431	2.8842	0.00196206	0.050752	13639.5	6326.53	5140.49
TACLP	GL	MADHP	0.106057	2.66094	0.0038961	0.0520442	13661.2	6350.7	5132.8
MADLP	OH	GL	0.0319785	1.92773	0.0269443	0.0142358	15016.2	5908.38	5542.21
MADLP	OL	GL	0.00996685	0.521353	0.30106	0.00386766	16953.5	5040.47	4940.98
TACHP	GL	MADLP	0.108661	3.08571	0.00101535	0.055147	13620.4	6333.91	5092.32
TACLP	GL	MADLP	0.112043	2.85233	0.00216998	0.0567846	13640	6355.87	5075.11
OL	OH	GL	0.0229307	2.51046	0.00602878	0.0104094	15123.1	5948.44	5681.75
TACHP	GL	OH	0.105442	3.15661	0.00079808	0.11204	13391.9	6471.53	5236.97
TACLP	GL	OH	0.108052	2.96418	0.00151743	0.114541	13406.6	6488.74	5223.23
TACHP	GL	OL	0.109234	3.24592	0.000585357	0.0924807	13616.4	6429.39	5163.1
TACLP	GL	OL	0.110075	2.98424	0.00142141	0.0931593	13620.7	6436.06	5159.67
TACLP	TACHP	GL	0.000560576	0.0277655	0.488925	0.000132376	15326.1	2178.2	2175.76
MADHP	MADLP	OH	0.0203654	2.36987	0.00889728	0.200766	13915.4	4380.03	4205.19
MADHP	MADLP	OL	0.0159552	1.86308	0.0312258	0.209462	11561.9	4565.13	4421.75
MADLP	MADHP	TACHP	0.00489976	0.516305	0.302821	0.00137994	23206.4	2984.61	2955.51
MADLP	MADHP	TACLP	0.00613567	0.714119	0.237577	0.00134037	23239.6	2985.99	2949.57
MADHP	OL	OH	0.0171866	1.0781	0.140494	0.277277	9482.18	7153.95	6912.2
MADHP	OH	TACHP	0.03081	2.42438	0.00766726	0.0163402	15923.7	5756.19	5412.09
MADHP	OH	TACLP	0.0309627	2.11189	0.0173481	0.012715	15942.4	5743.9	5398.89
MADHP	OL	TACHP	0.0047079	0.355934	0.360945	0.00216826	17909.5	4873.58	4827.91
MADHP	OL	TACLP	0.00695256	0.487965	0.312787	0.00248505	17929	4882.99	4815.56
TACLP	TACHP	MADHP	0.009345	0.403793	0.343183	0.00136146	23367.4	1720.52	1688.66
MADLP	OL	OH	0.0047916	0.302516	0.381129	0.0967331	9486.88	7015.27	6948.36
MADLP	OH	TACHP	0.0338077	2.48186	0.00653485	0.0176918	16048.4	5706.05	5332.85
MADLP	OH	TACLP	0.0346413	2.21931	0.0132327	0.0140381	16069.4	5696.13	5314.7
MADLP	OL	TACHP	0.007805	0.514547	0.303435	0.00354543	18007.1	4827.83	4753.05
MADLP	OL	TACLP	0.010847	0.654272	0.256468	0.0038221	18028.3	4838.87	4735.02
TACLP	TACHP	MADLP	0.0114843	0.510057	0.305006	0.00173686	23401	1725.06	1685.89
OL	OH	TACHP	0.0266954	2.5106	0.00602632	0.0142008	16147.8	5738.59	5440.17
OL	OH	TACLP	0.0248717	2.20245	0.0138166	0.0102549	16159.3	5719.05	5441.47
TACLP	TACHP	OH	0.00881855	0.505071	0.306755	0.00280061	23072.7	1769.87	1738.92
TACLP	TACHP	OL	0.0029071	0.155594	0.438176	0.000737343	23343.8	1742.61	1732.51
