P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.0310738	0.521494	0.301011	0.0300255	372.584	120.267	113.018
APHP	APLP	GL	0.0403892	0.611922	0.270295	0.0164987	370.947	121.601	112.159
APLP	APHP	MADHP	0.0940213	1.83182	0.0334889	0.0313948	495.865	101.023	83.6592
APLP	APHP	MADLP	0.105168	1.97183	0.0243147	0.0354388	501.012	101.121	81.8755
APLP	APHP	OH	0.0665934	1.38639	0.0828136	0.0621239	485.081	102.496	89.6972
APLP	APHP	OL	0.0541371	1.12134	0.131071	0.0400767	482.976	101.487	91.063
APHP	APLP	TACHP	0.0936754	1.59053	0.0558572	0.0434938	386.245	125.886	104.321
APHP	APLP	TACLP	0.105747	1.67497	0.0469699	0.0396697	377.583	126.971	102.685
GH	GL	APHP	0.0030953	0.0365489	0.485422	0.00507351	337.643	126.163	125.385
GH	APHP	MADHP	0.00697772	0.118391	0.452879	0.00416111	296.747	161.471	159.233
GH	APHP	MADLP	0.0116019	0.200954	0.420367	0.00697984	300.879	160.554	156.871
APHP	GH	OH	0.00893205	0.195548	0.422482	0.015338	286.691	166.622	163.672
GH	APHP	OL	0.0233125	0.501862	0.307882	0.0299193	289.717	167.795	160.15
APHP	GH	TACHP	0.238876	4.01306	2.99683e-05	0.197522	178.379	253.956	156.022
APHP	GH	TACLP	0.178565	2.58824	0.00482344	0.117858	181.285	238.105	165.954
GL	APHP	MADHP	0.0370668	0.493889	0.310692	0.0217641	302.552	166.497	154.595
GL	APHP	MADLP	0.0366549	0.46618	0.320543	0.0220916	308.044	166.94	155.135
GL	APHP	OH	0.0034393	0.0559815	0.477678	0.00590747	291.21	167.412	166.265
GL	APHP	OL	0.0450766	0.701731	0.241423	0.0570861	296.211	173.51	158.542
APHP	GL	TACHP	0.147495	2.11973	0.0170142	0.119241	193.835	229.766	170.699
APHP	GL	TACLP	0.113156	1.4838	0.0689316	0.0733452	192.062	220.853	175.952
MADLP	MADHP	APHP	0.0354168	0.890885	0.186496	0.0172119	527.36	73.7977	68.7491
MADHP	OH	APHP	0.043481	1.14612	0.125873	0.0422262	326.695	147.072	134.815
MADHP	OL	APHP	0.0519913	1.3443	0.0894256	0.0460046	369.872	135.097	121.744
TACHP	APHP	MADHP	0.0665802	1.1236	0.130592	0.0396471	290.152	177.234	155.106
TACLP	APHP	MADHP	0.0551067	0.764837	0.222184	0.0323355	291.386	171.441	153.533
MADLP	OH	APHP	0.0600397	1.65978	0.0484793	0.0589986	314.528	152.768	135.463
MADLP	OL	APHP	0.0692474	2.07497	0.0189945	0.0625422	349.706	142.073	123.671
TACHP	APHP	MADLP	0.0478442	0.758275	0.224143	0.0294958	292.946	174.979	159
TACLP	APHP	MADLP	0.0498635	0.670318	0.251327	0.0299479	296.049	171.056	154.807
OH	OL	APHP	0.00371955	0.198782	0.421217	0.00394624	316.009	147.976	146.879
TACHP	APHP	OH	0.00533108	0.101056	0.459753	0.00971513	277.356	176.694	174.82
TACLP	APHP	OH	0.00347521	0.0584734	0.476686	0.00632691	281.422	173.734	172.531
TACHP	APHP	OL	0.0120672	0.205666	0.418526	0.0168181	278.221	178.656	174.395
TACLP	APHP	OL	0.011843	0.175663	0.430279	0.0161986	282.187	175.596	171.486
TACHP	TACLP	APHP	0.0881506	0.666812	0.252446	0.0404369	531.834	43.3665	36.3403
GH	GL	APLP	0.0112236	0.110293	0.456088	0.00711472	335.878	133.839	130.868
APLP	GH	MADHP	0.0477456	0.683923	0.247012	0.0273488	310.731	165.968	150.842
APLP	GH	MADLP	0.0495119	0.711378	0.238425	0.0286574	316.199	164.942	149.38
APLP	GH	OH	0.0478765	0.772246	0.219984	0.0764439	299.668	172.35	156.601
APLP	GH	OL	0.00848661	0.140882	0.443982	0.0106839	301.931	165.114	162.335
APLP	GH	TACHP	0.185455	2.54843	0.0054105	0.161212	175.754	244.081	167.712
APLP	GH	TACLP	0.118332	1.40842	0.0795028	0.0813878	176.614	226.185	178.319
APLP	GL	MADHP	0.0172645	0.214833	0.414949	0.00987592	318.322	160.924	155.462
APLP	GL	MADLP	0.0234335	0.278855	0.390178	0.0136997	324.812	162.462	155.022
APLP	GL	OH	0.0351688	0.494205	0.310581	0.0565535	305.859	171.472	159.821
GL	APLP	OL	0.013741	0.19264	0.42362	0.0173291	310.17	167.603	163.059
APLP	GL	TACHP	0.0930074	1.07824	0.140464	0.0791651	193.869	220.358	182.857
APLP	GL	TACLP	0.0515078	0.550814	0.29088	0.0350536	191.08	210.43	189.814
MADLP	MADHP	APLP	0.0487972	1.15485	0.124076	0.0118239	545.398	74.4718	67.5419
MADHP	OH	APLP	0.0606287	1.42194	0.0775223	0.0290711	339.563	147.141	130.319
MADHP	OL	APLP	0.0798862	1.88751	0.0295458	0.0350702	382.36	137.162	116.868
TACHP	APLP	MADHP	0.0149024	0.204572	0.418953	0.00853455	314.042	162.194	157.431
TACLP	APLP	MADHP	0.00176265	0.0202157	0.491936	0.000982489	316.215	154.621	154.077
MADLP	OH	APLP	0.083561	1.98839	0.0233842	0.0405262	328.558	153.999	130.247
MADLP	OL	APLP	0.103673	2.70614	0.0034035	0.0464492	362.963	144.906	117.683
APLP	TACHP	MADLP	0.0101532	0.136047	0.445892	0.0060149	318.002	162.491	159.225
APLP	TACLP	MADLP	0.00965401	0.109661	0.456339	0.00551826	322.233	156.706	153.709
OH	OL	APLP	0.0118359	0.50794	0.305748	0.00617188	326.84	148.383	144.912
APLP	TACHP	OH	0.031957	0.487539	0.312938	0.053028	300.493	176.393	165.468
APLP	TACLP	OH	0.0346619	0.474702	0.3175	0.056283	306.24	173.063	161.468
APLP	TACHP	OL	0.0178322	0.255456	0.399186	0.0236974	301.299	175.909	169.745
APLP	TACLP	OL	0.0187051	0.238234	0.40585	0.0242735	306.912	171.925	165.611
TACHP	TACLP	APLP	0.114533	0.794865	0.213346	0.0230096	511.605	47.4232	37.6765
GL	GH	MADHP	0.0479481	0.551861	0.290522	0.017672	455.381	105.608	95.9442
GL	GH	MADLP	0.0407964	0.494609	0.310438	0.0152002	459.881	103.615	95.4925
GL	GH	OH	0.0204558	0.319039	0.374848	0.0210939	434.539	102.212	98.1138
GL	GH	OL	0.0370507	0.548547	0.291658	0.0279278	444.306	102.479	95.1567
GL	GH	TACHP	0.14815	1.78385	0.0372241	0.0889006	287.291	150.609	111.742
GL	GH	TACLP	0.106435	1.25274	0.105151	0.0480427	297.076	141.638	114.388
MADLP	MADHP	GH	0.0463554	0.997928	0.159157	0.0168504	529.088	73.2872	66.7937
MADHP	OH	GH	0.0629054	1.08762	0.138381	0.0460648	324.053	147.381	129.936
MADHP	OL	GH	0.0318878	0.585064	0.279252	0.0209825	370.987	128.568	120.622
TACHP	GH	MADHP	0.0733172	1.27754	0.100705	0.0356375	358.675	145.585	125.695
TACLP	GH	MADHP	0.0561005	0.884638	0.188176	0.0282949	341.833	147.499	131.829
MADLP	OH	GH	0.0843164	1.7802	0.0375214	0.0621188	312.734	153.924	129.986
MADLP	OL	GH	0.0559782	1.22705	0.109901	0.0374702	351.474	136.195	121.755
TACHP	GH	MADLP	0.0457182	0.799514	0.211996	0.0226978	360.21	140.626	128.33
TACLP	GH	MADLP	0.0454348	0.724625	0.234341	0.0231602	345.395	144.568	132.002
OL	OH	GH	0.0327216	1.29549	0.0975758	0.0255764	316.072	149.893	140.394
TACHP	GH	OH	0.0172111	0.359	0.359797	0.0250099	338.204	142.558	137.734
TACLP	GH	OH	0.014183	0.2804	0.389585	0.0218384	325.393	148.504	144.351
GH	TACHP	OL	0.0120431	0.228728	0.40954	0.0132465	343.983	142.224	138.839
