P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.156876	6.17368	3.33588e-10	0.162022	9604.38	5943.32	4331.45
APHP	APLP	GL	0.162393	4.84894	6.20609e-07	0.0907587	9497.87	6057.41	4364.91
APLP	APHP	MADHP	0.0633887	2.39762	0.00825103	0.0277039	14356.6	4557.7	4014.33
APLP	APHP	MADLP	0.0665145	2.48473	0.00648242	0.0314235	14382.1	4576.02	4005.24
APLP	APHP	OH	0.0589324	2.21774	0.0132864	0.0539678	14221.5	4576.82	4067.4
APLP	APHP	OL	0.0623399	2.43485	0.00744904	0.0500341	14220.2	4572.31	4035.69
APHP	APLP	TACHP	0.196519	5.67704	6.85226e-09	0.139062	9313.99	6082.54	4084.52
APHP	APLP	TACLP	0.172178	5.96607	1.21517e-09	0.0895981	9494	5925.81	4184.96
GH	GL	APHP	0.0228432	1.37647	0.084338	0.058326	13997.2	3133.62	2993.65
GH	APHP	MADHP	0.026333	1.12972	0.129297	0.0159021	10532.9	6006.89	5698.64
GH	APHP	MADLP	0.0200066	0.852734	0.196903	0.0131679	10519.5	5986.34	5751.51
GH	APHP	OH	0.00849641	0.373381	0.354432	0.0111842	10363.2	5991.42	5890.46
GH	APHP	OL	0.010371	0.472127	0.318418	0.0118905	10347.3	5972.27	5849.66
GH	TACHP	APHP	0.00368746	0.238092	0.405905	0.0180821	8315.24	5914	5870.55
TACLP	GH	APHP	0.00301885	0.199772	0.420829	0.0147619	8255.97	6000.08	5963.96
APHP	GL	MADHP	0.00898947	0.284921	0.387852	0.00552462	10474.1	5913.45	5808.08
APHP	GL	MADLP	0.0190689	0.547647	0.291967	0.0127841	10459.6	6011.48	5786.5
APHP	GL	OH	0.0316054	0.872089	0.19158	0.0423327	10302.8	6169.11	5791.1
APHP	GL	OL	0.0227671	0.664642	0.25314	0.0265544	10322	6077.61	5807.03
TACHP	GL	APHP	0.00817227	0.496225	0.309868	0.0407698	8431.37	5953.06	5856.55
TACLP	GL	APHP	0.0148358	0.88295	0.188632	0.0718925	8507.1	6022.47	5846.39
MADLP	MADHP	APHP	0.00123265	0.170366	0.432361	0.00102247	17990.6	2888.58	2881.46
MADHP	OH	APHP	0.0164374	1.93691	0.0263784	0.02221	13144.4	4770.1	4615.82
MADHP	OL	APHP	0.0171019	2.57989	0.0049416	0.021744	13854.8	4491.43	4340.39
TACHP	APHP	MADHP	0.106744	2.74041	0.00306815	0.0603136	10916.1	6346.67	5122.41
TACLP	APHP	MADHP	0.0849941	2.39351	0.0083441	0.0489685	10759.2	6269.27	5287.05
MADLP	OH	APHP	0.0171927	1.52534	0.0635874	0.0232056	13155.8	4774.34	4612.94
MADLP	OL	APHP	0.0181583	2.33215	0.00984636	0.0227424	14046.3	4433.91	4275.76
TACHP	APHP	MADLP	0.11044	2.88372	0.00196505	0.067061	10935.1	6358.52	5093.73
TACLP	APHP	MADLP	0.0869194	2.45878	0.00697044	0.0539761	10773.2	6276.19	5272.39
OL	OH	APHP	0.000330312	0.0412301	0.483556	0.000476962	12638.1	4904.91	4901.67
TACHP	APHP	OH	0.0814741	2.21807	0.013275	0.0960418	10708	6292.81	5344.66
