P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.0949491	4.83284	6.73003e-07	0.0901306	10554	5150.18	4256.98
APHP	APLP	GL	0.091684	5.24067	7.99977e-08	0.048331	10486.5	5150.99	4285.79
APLP	APHP	MADHP	0.0854277	2.85793	0.00213206	0.0331656	15391.4	4438.81	3740.1
APLP	APHP	MADLP	0.0861853	2.97214	0.00147864	0.0351414	15449	4427.16	3724.6
APLP	APHP	OH	0.077804	3.03355	0.00120849	0.0622967	15476.5	4363.15	3733.22
APLP	APHP	OL	0.0846148	2.99925	0.00135323	0.0573862	15403.9	4424.88	3734.47
APHP	APLP	TACHP	0.0954379	8.21787	1.03596e-16	0.0597316	11144.4	4968.31	4102.61
APHP	APLP	TACLP	0.0989984	7.48146	3.67506e-14	0.046262	11101.8	4992.9	4093.37
GH	GL	APHP	0.0176643	0.963058	0.167759	0.0251154	13704	2773.26	2676.99
GH	APHP	MADHP	0.0729767	3.64526	0.000133563	0.0408104	11026.4	6370.83	5504.22
GH	APHP	MADLP	0.0698137	3.61939	0.000147652	0.0411012	11061.8	6337.03	5509.95
GH	APHP	OH	0.062532	3.59816	0.000160237	0.0722818	11081	6264.72	5527.33
GH	APHP	OL	0.0738101	3.90488	4.71355e-05	0.0718279	11051.8	6369.81	5494.13
APHP	GH	TACHP	0.124832	6.39221	8.17525e-11	0.117974	6735.64	7699.96	5990.9
APHP	GH	TACLP	0.123944	6.16879	3.44066e-10	0.0874297	6719.55	7708.17	6008.12
GL	APHP	MADHP	0.0755896	5.05877	2.1098e-07	0.042088	11117.5	6365.64	5470.92
GL	APHP	MADLP	0.0732425	5.15941	1.23865e-07	0.0429189	11158.6	6337.48	5472.49
GL	APHP	OH	0.0616582	4.76888	9.26278e-07	0.0711224	11148.2	6235.62	5511.33
GL	APHP	OL	0.0737922	5.11118	1.60077e-07	0.0715816	11128.7	6350.36	5477.55
APHP	GL	TACHP	0.166498	5.29286	6.02088e-08	0.157811	6564.02	8009.44	5723.01
APHP	GL	TACLP	0.169938	5.17178	1.15937e-07	0.120242	6517.96	8048.36	5710.25
MADLP	MADHP	APHP	0.0127612	1.58923	0.0560045	0.00807773	20317.7	2746.52	2677.31
OH	MADHP	APHP	0.015741	1.83313	0.0333919	0.0185643	13936.3	5186.15	5025.41
OL	MADHP	APHP	0.00295738	0.405917	0.342402	0.00309909	15609	4482.65	4456.22
TACHP	APHP	MADHP	0.120304	7.24419	2.17517e-13	0.0679545	10825.9	6915.02	5429.88
TACLP	APHP	MADHP	0.122272	6.66883	1.28929e-11	0.06885	10855.8	6911.6	5405.56
OH	MADLP	APHP	0.00901117	1.07845	0.140416	0.0105642	13946.6	5124.21	5032.68
MADLP	OL	APHP	0.00476828	0.671321	0.251008	0.00499107	15565.4	4507.19	4464.41
TACHP	APHP	MADLP	0.121836	7.67353	8.36641e-15	0.0719607	10866.4	6886.33	5390.56
TACLP	APHP	MADLP	0.120959	6.69338	1.09037e-11	0.0713651	10880.5	6867.11	5385.1
OH	OL	APHP	0.0129012	2.3513	0.00935403	0.0155029	13692.3	5272.29	5137.98
TACHP	APHP	OH	0.112274	8.00406	6.01895e-16	0.126688	10880.2	6808.66	5434.11
TACLP	APHP	OH	0.114316	6.9767	1.51093e-12	0.128423	10908.1	6803.21	5407.35
TACHP	APHP	OL	0.116184	7.8682	1.79896e-15	0.112286	10816.5	6879.17	5447.06
TACLP	APHP	OL	0.118415	6.9733	1.54794e-12	0.113958	10846.9	6876.3	5420.21
TACHP	TACLP	APHP	0.0103817	0.441727	0.329343	0.00725558	16703.5	1620.97	1587.66
GH	GL	APLP	0.0122126	0.558238	0.288341	0.00698368	12895	2829.41	2761.13
GH	APLP	MADHP	0.0152577	0.731454	0.232251	0.00790665	11833.5	5585.97	5418.07
GH	APLP	MADLP	0.0113243	0.573182	0.283261	0.00618867	11880.7	5560.09	5435.57
GH	APLP	OH	0.00979402	0.519212	0.301807	0.0105329	11878.7	5539.25	5431.8
GH	APLP	OL	0.0168267	0.819536	0.20624	0.0151973	11863.7	5598.04	5412.77
APLP	GH	TACHP	0.0639525	3.11134	0.000931189	0.0619292	6944.12	7015.24	6171.89
APLP	GH	TACLP	0.0605203	2.76267	0.00286658	0.0431633	6918.54	7013.97	6213.44
GL	APLP	MADHP	0.0178176	0.607118	0.271886	0.00922064	11914.4	5598.6	5402.59
GL	APLP	MADLP	0.0147747	0.514282	0.303527	0.00805894	11966.9	5578.07	5415.65
GL	APLP	OH	0.00861141	0.341597	0.366327	0.00926543	11934.1	5526.34	5431.97
GL	APLP	OL	0.0165612	0.573577	0.283127	0.0149597	11932.1	5598.24	5415.83
APLP	GL	TACHP	0.10724	3.06974	0.00107123	0.104238	6754.16	7334.38	5913.66
APLP	GL	TACLP	0.108258	2.93718	0.00165607	0.0775696	6698.27	7363.47	5924.89
MADLP	MADHP	APLP	0.0137506	1.40126	0.080568	0.00454056	20963.4	2693.57	2620.5
OH	MADHP	APLP	0.00917227	0.868099	0.19267	0.00570739	14508	5059.16	4967.19
OL	MADHP	APLP	0.00206521	0.229841	0.409108	0.00113045	16223.9	4398.87	4380.73
TACHP	APLP	MADHP	0.0687254	2.34471	0.00952091	0.0359827	11590.1	6114.81	5328.38
TACLP	APLP	MADHP	0.0708982	2.25352	0.0121132	0.036908	11639.7	6097.29	5289.96
OH	MADLP	APLP	0.00189669	0.174118	0.430886	0.00117263	14514.8	4989.87	4970.97
MADLP	OL	APLP	0.00624172	0.878666	0.189791	0.00341381	16177.1	4428.49	4373.55
TACHP	APLP	MADLP	0.0697744	2.42564	0.00764076	0.0381586	11629	6080.67	5287.46
TACLP	APLP	MADLP	0.0689066	2.20878	0.0135949	0.0375336	11661	6045.57	5266.12
OH	OL	APLP	0.00723059	0.92055	0.178643	0.00458355	14252.9	5142.48	5068.65
TACHP	APLP	OH	0.0654629	2.53441	0.00563184	0.0686337	11626.8	6059.59	5314.98
TACLP	APLP	OH	0.0677237	2.3588	0.009167	0.0704677	11672.1	6037.79	5271.86
TACHP	APLP	OL	0.0649327	2.4007	0.00818195	0.0581544	11575.6	6082.24	5340.53
TACLP	APLP	OL	0.0673945	2.27227	0.0115351	0.0599253	11624	6063.49	5297.8
TACHP	TACLP	APLP	0.0203933	0.71112	0.238505	0.00636732	15862.4	1679.39	1612.26
GL	GH	MADHP	0.00584829	0.272141	0.392757	0.00132273	18967.3	2418.09	2389.97
GL	GH	MADLP	0.00791887	0.361231	0.358964	0.00188084	18991.5	2412.61	2374.7
GH	GL	OH	0.00272897	0.14312	0.443098	0.00128258	18971.5	2403.82	2390.74
GH	GL	OL	0.000597058	0.0282062	0.488749	0.000235405	18986.7	2404.81	2401.94
GH	GL	TACHP	0.0999128	3.0965	0.000979098	0.0451666	12663.4	3178.05	2600.68
GH	GL	TACLP	0.110166	3.04027	0.00118182	0.0359613	12615.3	3214.89	2576.84
MADLP	MADHP	GH	0.00569652	0.512062	0.304304	0.00191962	21058.9	2621.18	2591.49
OH	MADHP	GH	0.00318008	0.427711	0.334431	0.00203821	14588.1	4971.43	4939.91
OL	MADHP	GH	0.00409375	0.439206	0.330256	0.00229526	16348	4355.03	4319.52
TACHP	GH	MADHP	0.0574541	2.45795	0.00698657	0.0283021	12178.7	5692.18	5073.64
TACLP	GH	MADHP	0.0594783	2.24368	0.0124264	0.0292325	12205.9	5695.12	5055.68
OH	MADLP	GH	0.000184964	0.0218995	0.491264	0.000118001	14583.2	4933.74	4931.91
OL	MADLP	GH	0.00066931	0.0843406	0.466393	0.000375998	16276.8	4348.71	4342.89
TACHP	GH	MADLP	0.0622914	2.63391	0.00422043	0.0321675	12217.9	5701.74	5033.06
TACLP	GH	MADLP	0.0611105	2.25895	0.0119433	0.0315364	12226.6	5686.04	5031.11
OL	OH	GH	0.000394838	0.0610735	0.47565	0.000258067	14349.7	5057.98	5053.99
TACHP	GH	OH	0.05934	2.77784	0.00273611	0.0587255	12205.3	5687.31	5050.15
TACLP	GH	OH	0.0614976	2.5435	0.00548743	0.060582	12225.3	5682.94	5024.46
TACHP	GH	OL	0.05171	2.32552	0.010022	0.0436278	12180.6	5658.57	5102.14
TACLP	GH	OL	0.0540675	2.08967	0.0183236	0.045425	12204	5657.69	5077.28
TACHP	TACLP	GH	0.00713488	0.257375	0.398445	0.00272209	15097.9	1715.42	1691.12
MADLP	MADHP	GL	0.00761039	0.639391	0.261284	0.00167413	21079.8	2613.91	2574.42
MADHP	OH	GL	0.000981	0.108847	0.456662	0.000411287	14575.9	4940.79	4931.1
OL	MADHP	GL	0.000523929	0.0535818	0.478634	0.000192044	16339.4	4318.29	4313.77
TACHP	GL	MADHP	0.0578081	3.21354	0.000655539	0.0270155	12493.9	5401.95	4811.53
TACLP	GL	MADHP	0.0603225	2.88196	0.00197603	0.027947	12549.7	5372.76	4761.44
MADLP	OH	GL	0.00500692	0.475243	0.317307	0.00208473	14572.9	4934.74	4885.57
MADLP	OL	GL	0.00404397	0.466975	0.320259	0.00148238	16271.3	4340.28	4305.32
TACHP	GL	MADLP	0.0619774	3.52994	0.000207826	0.0303456	12535.6	5404.14	4773.37
TACLP	GL	MADLP	0.0610806	2.89986	0.00186664	0.0297134	12575.8	5359.38	4742.36
OL	OH	GL	0.00140899	0.179707	0.428691	0.000603273	14327.2	5048.63	5034.42
TACHP	GL	OH	0.0635606	3.61557	0.000149844	0.0599356	12522.6	5440.28	4790.04
TACLP	GL	OH	0.066141	3.2103	0.000662971	0.0617858	12579.8	5412.55	4740.98
TACHP	GL	OL	0.0546262	3.1743	0.00075098	0.0438528	12495.6	5399.05	4839.74
TACLP	GL	OL	0.0574216	2.73197	0.00314782	0.0456496	12552.1	5370.59	4787.3
TACHP	TACLP	GL	0.0248561	0.736405	0.230742	0.00516484	14496.5	1752.07	1667.08
MADHP	MADLP	OH	0.000397835	0.0242212	0.490338	0.00528246	12602	3784.02	3781.01
MADLP	MADHP	OL	0.0118092	0.705664	0.240199	0.357612	10496.3	4051.48	3956.9
MADLP	MADHP	TACHP	0.0154665	1.59755	0.0550718	0.00399903	21677.2	2620.92	2541.08
MADLP	MADHP	TACLP	0.00876618	0.85189	0.197138	0.00181175	21677	2599.84	2554.65
OH	OL	MADHP	0.158648	7.06576	7.98698e-13	0.204581	5944.37	8677.19	6300.94
OH	MADHP	TACHP	0.00516891	0.495855	0.309998	0.00251434	15110.3	4875.06	4824.92
OH	MADHP	TACLP	0.00522148	0.455925	0.324222	0.00202678	15122.9	4866.75	4816.19
MADHP	OL	TACHP	0.00312933	0.40795	0.341655	0.00133749	16847.4	4262.49	4235.89
MADHP	OL	TACLP	0.00276941	0.348194	0.363847	0.000944623	16866.2	4257.32	4233.81
TACLP	TACHP	MADHP	0.00767665	0.380858	0.351654	0.000955383	21883.5	1371.61	1350.71
OH	OL	MADLP	0.152218	7.42573	5.60808e-14	0.217606	5985.95	8624.19	6345.53
MADLP	OH	TACHP	0.00307624	0.27028	0.393472	0.00148705	15130.6	4842.17	4812.47
OH	MADLP	TACLP	0.000557251	0.0455024	0.481853	0.000215433	15129.1	4824.74	4819.37
MADLP	OL	TACHP	0.0124872	1.70747	0.0438673	0.0053296	16805.2	4314.89	4208.46
MADLP	OL	TACLP	0.00806048	1.05993	0.144589	0.00275464	16810.2	4295.92	4227.22
TACHP	TACLP	MADLP	0.00506393	0.249968	0.401306	0.000661827	21943	1365	1351.24
OH	OL	TACHP	0.00773115	0.861886	0.194375	0.0038485	14853	5000.92	4924.19
OH	OL	TACLP	0.00746995	0.771759	0.220129	0.00296939	14871.3	4995.22	4921.14
TACLP	TACHP	OH	0.00781016	0.444718	0.328262	0.00196161	21937.5	1375.5	1354.18
TACLP	TACHP	OL	0.00880087	0.450575	0.326148	0.00187652	21859.5	1374.19	1350.21
