P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.129995	5.9784	1.12668e-09	0.146258	10092.8	6467.25	4979.26
APHP	APLP	GL	0.149641	8.22379	9.86082e-17	0.0880521	9740.13	6643.51	4914.03
APLP	APHP	MADHP	0.0540801	2.50233	0.00616893	0.0268743	15745.5	4782.04	4291.35
APLP	APHP	MADLP	0.0519811	2.31556	0.0102911	0.0271794	15716.2	4775.97	4303.98
APLP	APHP	OH	0.038977	2.09318	0.0181667	0.0441856	15474.1	4736.96	4381.54
APLP	APHP	OL	0.0487179	2.27197	0.0115442	0.0425001	15614.5	4764.24	4321.6
APHP	APLP	TACHP	0.0796667	4.36306	6.41265e-06	0.0588075	10286.2	6013.09	5125.7
APHP	APLP	TACLP	0.0836031	4.50474	3.32268e-06	0.0463	10220.9	6025.45	5095.69
GH	GL	APHP	0.0444106	2.52861	0.00572576	0.0953955	14318.7	3380.04	3092.59
GH	APHP	MADHP	0.0654275	4.24952	1.07117e-05	0.0420096	12196.5	6346.57	5567.09
GH	APHP	MADLP	0.0596746	3.79951	7.24916e-05	0.0404088	12146.2	6319.51	5607.76
GH	APHP	OH	0.0380023	3.0782	0.00104128	0.0562881	11876.5	6252.96	5795.11
GH	APHP	OL	0.0579474	4.08074	2.2446e-05	0.0650659	12066.1	6329.48	5636.1
APHP	GH	TACHP	0.113376	7.51264	2.89726e-14	0.111738	6638.23	8277.04	6591.31
APHP	GH	TACLP	0.105922	7.51337	2.88115e-14	0.0781889	6638.71	8197.25	6627.03
GL	APHP	MADHP	0.0413892	1.39717	0.0811806	0.0265945	12245.6	6108.26	5622.73
GL	APHP	MADLP	0.034847	1.2188	0.11146	0.0236674	12196.9	6082.76	5673.11
GL	APHP	OH	0.0143509	0.602411	0.27345	0.021733	11936.6	6025.53	5855.03
GL	APHP	OL	0.0316547	1.14909	0.125259	0.0361163	12107.5	6083.42	5710.1
APHP	GL	TACHP	0.131299	3.77139	8.11713e-05	0.128583	6752.67	8358.48	6418.3
APHP	GL	TACLP	0.130807	3.85164	5.86654e-05	0.0960967	6710.55	8341.16	6411.42
MADHP	MADLP	APHP	0.00374415	0.594488	0.276093	0.00261382	18645.7	3111.72	3088.51
MADHP	OH	APHP	0.0210041	2.77918	0.0027248	0.0254942	12837	5501.02	5274.68
MADHP	OL	APHP	0.0119816	1.74675	0.0403401	0.0127514	14406.5	4782.62	4669.37
TACHP	APHP	MADHP	0.132979	5.82832	2.79948e-09	0.0813556	12509.4	6706.45	5132.16
TACLP	APHP	MADHP	0.130268	5.99597	1.01136e-09	0.079809	12524.9	6686.69	5145.35
MADLP	OH	APHP	0.0187518	2.33011	0.00990014	0.0229335	12754	5517.57	5314.45
