P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.097989	4.42713	4.77469e-06	0.105114	10070.3	5469.89	4493.58
APHP	APLP	GL	0.101573	3.91685	4.48575e-05	0.0555931	10014.1	5507.83	4492.11
APLP	APHP	MADHP	0.0641957	5.34751	4.45859e-08	0.029059	15557.5	4205.13	3697.8
APLP	APHP	MADLP	0.067497	5.36082	4.1422e-08	0.0306858	15612.5	4232.54	3697.3
APLP	APHP	OH	0.0478291	4.01587	2.96139e-05	0.053536	15289	4190.08	3807.56
APLP	APHP	OL	0.0629871	5.26236	7.11071e-08	0.0523313	15461	4237.22	3735.07
APHP	APLP	TACHP	0.0776364	3.07524	0.00105168	0.0515243	10439.5	5251.7	4495
APHP	APLP	TACLP	0.0862266	3.19707	0.000694165	0.0426599	10493.4	5291.82	4451.67
GH	GL	APHP	0.0094235	0.488286	0.312674	0.0152617	13683.9	2935.23	2880.42
GH	APHP	MADHP	0.0431995	3.57342	0.000176172	0.0271819	11494.8	5719.15	5245.49
GH	APHP	MADLP	0.0477167	3.29203	0.000497338	0.0301161	11567.3	5764.14	5239.11
GH	APHP	OH	0.0265251	2.28736	0.0110874	0.0420115	11260.5	5738.37	5441.81
GH	APHP	OL	0.0383513	3.33813	0.000421714	0.0447547	11410.1	5763.06	5337.35
TACHP	GH	APHP	0.0286062	1.1266	0.129956	0.0927739	7588.36	6610.64	6242.95
TACLP	GH	APHP	0.0360946	1.51121	0.0653681	0.114797	7626.29	6673.4	6208.43
GL	APHP	MADHP	0.0596451	4.39293	5.59165e-06	0.0369629	11609	5778.6	5128.07
GL	APHP	MADLP	0.0607329	3.51836	0.000217113	0.0378648	11668.7	5810.74	5145.34
GL	APHP	OH	0.0279068	2.09179	0.0182289	0.0440916	11317.5	5740.54	5428.83
GL	APHP	OL	0.044187	3.207	0.000670626	0.0511324	11487.9	5786.1	5296.4
TACHP	GL	APHP	0.0336347	1.13691	0.127788	0.106644	7780.5	6491.91	6069.41
TACLP	GL	APHP	0.0413757	1.50862	0.0656977	0.12836	7859.92	6540.97	6021.21
MADLP	MADHP	APHP	0.00477172	0.483217	0.314471	0.00292592	17802.5	2902.84	2875.27
MADHP	OH	APHP	0.0239958	2.52512	0.00578288	0.0269838	11640.4	5407.67	5154.23
MADHP	OL	APHP	0.013824	1.45699	0.0725601	0.0136951	13160.9	4716.14	4587.53
TACHP	APHP	MADHP	0.0821412	2.81426	0.00244449	0.0511961	11433.1	6025.15	5110.46
TACLP	APHP	MADHP	0.086635	2.83985	0.00225674	0.0540349	11381.9	6071.28	5103.18
MADLP	OH	APHP	0.0265196	3.78388	7.7201e-05	0.0298263	11690.5	5438.72	5157.71
MADLP	OL	APHP	0.0168184	2.05333	0.0200202	0.0165752	13241.5	4721.37	4565.19
TACHP	APHP	MADLP	0.0932763	2.99797	0.00135891	0.0578956	11523.7	6088.24	5049.36
TACLP	APHP	MADLP	0.0965999	2.97028	0.00148766	0.0600493	11469.4	6131.23	5051.03
OL	OH	APHP	0.0116296	1.72991	0.0418233	0.0134838	11499.7	5429.22	5304.39
TACHP	APHP	OH	0.0593875	2.46918	0.00677116	0.0905744	11167.7	6013.24	5339.06
TACLP	APHP	OH	0.0629559	2.58421	0.00488017	0.0959251	11119.6	6062.44	5344.32
TACHP	APHP	OL	0.0891121	3.76187	8.43236e-05	0.099106	11390.1	6110.84	5110.85
TACLP	APHP	OL	0.0919844	3.76048	8.47929e-05	0.102486	11339.1	6157.08	5119.79
TACLP	TACHP	APHP	0.0300912	1.65756	0.0487032	0.0240124	16839.4	1664.92	1567.65
GH	GL	APLP	0.0155795	0.635737	0.262474	0.0107872	12803.8	3070.79	2976.57
APLP	GH	MADHP	0.00326573	0.172179	0.431648	0.00192838	12397	5171.42	5137.75
APLP	GH	MADLP	0.000985119	0.0477559	0.480955	0.000584905	12487.7	5183.17	5172.97
APLP	GH	OH	0.00812418	0.445072	0.328134	0.0120298	12128.7	5333.67	5247.71
APLP	GH	OL	0.00731101	0.402061	0.34382	0.00796583	12314.8	5265.76	5189.32
APLP	TACHP	GH	0.00010193	0.00289617	0.498845	0.000170282	6357.23	6945.95	6944.53
TACLP	APLP	GH	0.00168139	0.0477927	0.480941	0.00280568	6373.55	6974.67	6951.26
GL	APLP	MADHP	0.0140058	0.723864	0.234574	0.00813633	12537.1	5183.62	5040.42
GL	APLP	MADLP	0.0126443	0.575065	0.282624	0.00740782	12620.8	5211.85	5081.69
APLP	GL	OH	0.00670623	0.35321	0.361966	0.0099104	12219.9	5315.55	5244.73
APLP	GL	OL	0.0011947	0.0628811	0.474931	0.00129736	12423.6	5216.34	5203.89
APLP	TACHP	GL	0.0195495	0.432857	0.332559	0.015814	6160.9	7115.29	6842.42
APLP	TACLP	GL	0.0216097	0.482878	0.314591	0.0175745	6169.03	7167.59	6864.37
MADLP	MADHP	APLP	0.00977988	0.885133	0.188043	0.00345723	18271.1	2864.06	2808.58
MADHP	OH	APLP	0.0364152	3.58754	0.000166904	0.023644	11998.1	5382.77	5004.51
MADHP	OL	APLP	0.0146287	1.31656	0.0939931	0.0083642	13586.9	4639.97	4506.17
TACHP	APLP	MADHP	0.038649	1.17844	0.119311	0.0228014	12145.6	5473.65	5066.29
TACLP	APLP	MADHP	0.0437611	1.27673	0.10085	0.0257178	12153.1	5494.93	5034.17
MADLP	OH	APLP	0.0415887	4.68407	1.40617e-06	0.0270312	12065.8	5431.41	4997.68
MADLP	OL	APLP	0.0207375	1.95294	0.0254132	0.0117968	13680.5	4658.19	4468.92
TACHP	APLP	MADLP	0.0478133	1.38379	0.0832116	0.0280671	12245.9	5518.48	5014.85
TACLP	APLP	MADLP	0.0517449	1.42843	0.0765839	0.0303035	12252	5538.36	4993.39
OL	OH	APLP	0.0231105	3.03631	0.00119747	0.0154102	11864.1	5411.14	5166.69
TACHP	APLP	OH	0.026995	0.987734	0.161642	0.0391863	11841.7	5548.02	5256.35
TACLP	APLP	OH	0.0310567	1.1053	0.134515	0.0448314	11850.7	5570.85	5235.24
TACHP	APLP	OL	0.0468495	1.72798	0.0419957	0.0493392	12100.2	5562.07	5064.24
TACLP	APLP	OL	0.0503371	1.77794	0.0377067	0.0528729	12107.5	5583.17	5048.03
TACLP	TACHP	APLP	0.00418226	0.169397	0.432742	0.00148032	16077.1	1659.31	1645.49
GL	GH	MADHP	0.0376547	2.61119	0.00451134	0.0100493	19489.7	2436.91	2260.05
GL	GH	MADLP	0.0296537	1.58476	0.0565109	0.00798712	19568.5	2436.77	2296.41
GL	GH	OH	0.00313834	0.194818	0.422768	0.00214197	19042.8	2420.56	2405.41
GL	GH	OL	0.0134114	0.759298	0.223837	0.00668088	19293.8	2417.59	2353.6
GH	GL	TACHP	0.0604639	2.37844	0.00869314	0.0274266	12666.8	3206.66	2841
GH	GL	TACLP	0.0695081	2.68529	0.00362333	0.0230233	12667.6	3237.81	2816.95
MADLP	MADHP	GH	0.013902	0.879598	0.189539	0.00505504	18252.1	2878.74	2799.79
MADHP	OH	GH	0.0413566	3.34827	0.000406587	0.0277077	11950	5420.64	4990.09
MADHP	OL	GH	0.0193304	1.4645	0.0715281	0.0113621	13525.8	4655.34	4478.78
TACHP	GH	MADHP	0.0436173	1.43888	0.0750926	0.0246873	12503.1	5276.13	4835.11
TACLP	GH	MADHP	0.0487341	1.56008	0.0593711	0.027597	12522.1	5319.97	4825.54
MADLP	OH	GH	0.0488768	4.44949	4.30364e-06	0.0326273	12015.2	5466.79	4957.29
MADLP	OL	GH	0.0281776	2.42286	0.00769945	0.0163624	13607.5	4661.65	4406.14
TACHP	GH	MADLP	0.0509465	1.62629	0.0519439	0.0286383	12605.8	5299.81	4785.98
TACLP	GH	MADLP	0.0548061	1.72619	0.0421564	0.0308638	12623.5	5342.41	4787.25
OL	OH	GH	0.024048	3.97879	3.46334e-05	0.0165412	11774.8	5407.82	5153.83
TACHP	GH	OH	0.0364337	1.71781	0.0429157	0.050736	12167.7	5371.23	4993.6
TACLP	GH	OH	0.0404999	1.9114	0.0279763	0.0563119	12186.9	5415.33	4993.77
TACHP	GH	OL	0.0562635	2.6102	0.00452452	0.0569184	12441	5390.58	4816.3
TACLP	GH	OL	0.0596841	2.71868	0.0032771	0.060425	12454.9	5429.28	4817.7
TACLP	TACHP	GH	0.0072702	0.322174	0.37366	0.00297533	15549.2	1720.12	1695.29
MADLP	MADHP	GL	0.00744608	0.36006	0.359401	0.00171128	18421	2870.79	2828.35
MADHP	OH	GL	0.0568495	3.86976	5.44709e-05	0.0239247	12049.7	5505.23	4912.97
MADHP	OL	GL	0.0316994	1.85249	0.0319774	0.0116919	13644.6	4710.11	4420.67
TACHP	GL	MADHP	0.0267611	0.884715	0.188155	0.0147862	12837.2	5067.66	4803.5
TACLP	GL	MADHP	0.0321111	1.03191	0.151056	0.0177243	12903.5	5103.64	4786.07
MADLP	OH	GL	0.0609917	4.9944	2.951e-07	0.0255951	12084.1	5520.57	4885.86
MADLP	OL	GL	0.0367555	2.85223	0.00217065	0.0133832	13690.4	4680.6	4348.72
TACHP	GL	MADLP	0.0378414	1.19876	0.115311	0.0208171	12933.5	5121.54	4748.06
TACLP	GL	MADLP	0.0419144	1.30972	0.0951445	0.0230611	12998	5155.71	4740.9
OL	OH	GL	0.028735	4.36459	6.36814e-06	0.0123779	11802.9	5420.76	5117.93
TACHP	GL	OH	0.035614	1.62692	0.0518768	0.0486984	12447.6	5270.31	4907.82
TACLP	GL	OH	0.0398439	1.80051	0.03589	0.0542888	12511	5303.38	4896.96
TACHP	GL	OL	0.05096	2.23152	0.0128234	0.050573	12742	5261.87	4751.59
TACLP	GL	OL	0.0545761	2.33528	0.00976428	0.0541029	12801	5290.58	4742.99
TACHP	TACLP	GL	0.00868336	0.38453	0.350293	0.00178792	15196.4	1763.33	1732.97
MADHP	MADLP	OH	0.00249073	0.121508	0.451644	0.0351986	12227.9	3833.47	3814.42
MADHP	MADLP	OL	0.00940963	0.614529	0.269433	0.11597	10292.9	4042.04	3966.68
MADLP	MADHP	TACHP	0.0277085	2.48091	0.0065524	0.00716972	18628.6	2814.27	2662.51
MADLP	MADHP	TACLP	0.0255313	1.9583	0.0250975	0.00534863	18673	2805.26	2665.58
OL	MADHP	OH	0.0133804	0.795006	0.213305	0.231965	8234.15	6146.96	5984.64
MADHP	OH	TACHP	0.0480813	3.63413	0.00013946	0.0235124	12290.5	5383.57	4889.62
MADHP	OH	TACLP	0.0489587	3.47973	0.000250962	0.0193819	12343.9	5392.96	4889.54
MADHP	OL	TACHP	0.00485572	0.294295	0.384266	0.00206141	13926.8	4482.07	4438.75
MADHP	OL	TACLP	0.0066618	0.390735	0.347997	0.00228747	13971.3	4489.22	4429.8
TACLP	TACHP	MADHP	0.0201351	1.32213	0.0930632	0.00298091	22850	1352.91	1299.5
OL	MADLP	OH	0.0150006	0.920005	0.178785	0.259317	8279.75	6136.26	5954.88
MADLP	OH	TACHP	0.0628374	4.26741	9.88757e-06	0.0305016	12386.7	5460.73	4815.03
MADLP	OH	TACLP	0.0625212	3.86595	5.53286e-05	0.0246257	12434.5	5464.56	4821.47
MADLP	OL	TACHP	0.0219709	1.25101	0.105465	0.00921585	14056.9	4536.82	4341.75
MADLP	OL	TACLP	0.022407	1.19963	0.115141	0.00762354	14099.7	4542.24	4343.15
TACLP	TACHP	MADLP	0.0156853	0.901164	0.183751	0.00229778	22987	1338.18	1296.85
OL	OH	TACHP	0.0432084	6.38005	8.85163e-11	0.0214991	12184.6	5439.94	4989.31
OL	OH	TACLP	0.0425526	6.57427	2.44458e-11	0.0171327	12227.6	5439.08	4995.08
TACLP	TACHP	OH	0.0163749	1.18934	0.117153	0.00586985	22366.7	1363.58	1319.64
TACLP	TACHP	OL	0.0141024	0.832275	0.202627	0.00368597	22795.2	1341.37	1304.06
